,created_at,favorites,retweets,text,tweet_id,user_id,user_name,user_screen_name
0,1583538245000.0,2,0,A WATERSHED MOVEMENT IF STOCKS DO NOT HOLD THIS LEVEL $#AAPL $#AMZN $#FB $#GDX… https://goo.gl/fb/R6VvXk  #stockmarket,1236075109246476288,20327105,Nigam Arora,20327105
1,1583533081000.0,0,0,"Apple Inc price at close, 2020-03-06, is 283.827. #apple #AAPL",1236053449218895874,2321091087,Apple Stock Bot,2321091087
2,1583529644000.0,0,0,"$AAPL dominated by bulls lifting the market higher throughout the day: https://techniquant.com/reports/stock-aapl-daily-technical-analysis-report-for-2020-03-06/ …
Sentiment: Bullish #AAPL #Apple",1236039031969939457,931115585790009346,TQ Equities,931115585790009346
3,1583526621000.0,0,0,IMPRO: Dboy :(3:28:52 PM) : #AAPL suggest people work at home in Silicon Valley,1236026352463163394,19651092,MrTopStep,19651092
4,1583526486000.0,0,0,Is The Bull Market Over? #acb #cron #aapl #tsla #rmtihttps://youtu.be/m5vu27wXvoc ,1236025787553402881,1168641207481880577,Departures Capital,1168641207481880577
5,1583525663000.0,2,1,"#Stocks #AAPL #MSFT 

IMPRO: Dboy :(3:12:36 PM) : PitBull 'it anint what you got at the top, its what you got at the bottom'

#Word",1236022336337428482,19651092,MrTopStep,19651092
6,1583525554000.0,0,0,"SPX will touch 2900 and Rally last 45 mins
#aapl #amzn #FB #COST",1236021876805099520,733061653,Gyani Baba,733061653
7,1583523817000.0,1,0,1 hour charts for all 78 instruments are available for members viewing http://ow.ly/fxGQG  #ElliottWave #Forex #Indices #Commodities #stocks #etf's #SPX #NKD_F #YM_F #TF_F #ES_F #NQ_F #USDX #EURUSD #GBPUSD #CL_F #XAUUSD #AAPL #Tradingpic.twitter.com/Xb5KRD72r2,1236014592997888001,79233326,Elliottwave Forecast,79233326
8,1583523554000.0,0,0,Apple Inc stock dropped by 3.1043%! Currently priced at 283.827. #apple #AAPL,1236013491141689344,2321091087,Apple Stock Bot,2321091087
9,1583516494000.0,7,1,"Another winning day. #Transparency $25,327 profit in five weeks, up 421% #smallaccountchallenge.  $6k to $50k just using my algo. All trades streamed live, come check us out!
 #ES #NQ $ES $NQ #SPY #TSLA #AAPL #Stockmarket #trading #stocks #daytrading #swingtrading #moneypic.twitter.com/8HGaR4NWuf",1235983876713066496,704169437578948609,DayTraderParadise,704169437578948609
10,1583514521000.0,0,0,"$AAPL:  Update....
#Fang #Apple #AAPL #options #Stock #stocktowatch #investing #trading #daytrading #stockmarket #Elliottwave #Elliottwavepic.twitter.com/6miwm5iG8e",1235975600923385856,81482072,umesh,81482072
11,1583513052000.0,0,0,Apple Inc is doomed. $AAPL dropped by 2.1132%! Currently priced at 286.73. https://ift.tt/1Ssl26B  #AAPL,1235969439142723584,14814502,Matt C. P. マット,14814502
12,1583512236000.0,0,0,"How our alerts look. http://www.theoptionpros.net/subscribe 

#AAPL calls today intraday that went for 100% gains pic.twitter.com/fwntHGsnd0",1235966018545233921,840029394567598081,Option Pros,840029394567598081
13,1583512085000.0,0,0,It’s a blood bath  $$$#TSLA #FB #AAPL,1235965382638305280,310737699,codility👨🏾‍💻,310737699
14,1583510086000.0,0,0,Apple given $355.00 PT by UBS Group AG. buy rating. http://www.marketbeat.com/r/1359641  $AAPL #AAPL via @RatingsNetwork,1235957000124522498,842016584386277377,📡🦻🤯 6° Neuralink Monarch - The Mafia’s Signal,842016584386277377
15,1583508960000.0,0,0,"$AAPL calls +50% gains, take some off, nailing this market! #AAPL pic.twitter.com/xPTqDNdFF4",1235952278311505920,840029394567598081,Option Pros,840029394567598081
16,1583503083000.0,0,0,$AAPL Deutsche remains 'on sidelines' on iPhone giant Apple after it warns on March quarter  http://tinyurl.com/wku5oa5  via @proactive_NA #AAPL,1235927628193894401,198835982,Proactive USA,198835982
17,1583498455000.0,1,0,#aapl looking real heavy can 281 hold  https://www.instagram.com/p/B9ZH2V_FnbY/?igshid=uar6sjpxjpxd …,1235908217261219843,1027211185232519168,MBP_Charts,1027211185232519168
18,1583494923000.0,0,0,This is how everything is coming out of china if it's not final product ..Raw material is .. even Made in USA|/France/Germany have raw products from China.. #spx #aapl $dji $spy #coronavirushttps://www.theguardian.com/world/2020/mar/04/india-limits-medicine-exports-coronavirus-paracetamol-antibiotics …,1235893403830845441,962316852469911552,MarketGroundHog,962316852469911552
19,1583491333000.0,0,0,#aapl F flag baby pic.twitter.com/pMi0OqAlAQ,1235878344849321984,427118493,Perseverance Skogen,427118493
20,1583538245000.0,2,0,A WATERSHED MOVEMENT IF STOCKS DO NOT HOLD THIS LEVEL $#AAPL $#AMZN $#FB $#GDX… https://goo.gl/fb/R6VvXk  #stockmarket,1236075109246476288,20327105,Nigam Arora,20327105
21,1583533081000.0,0,0,"Apple Inc price at close, 2020-03-06, is 283.827. #apple #AAPL",1236053449218895874,2321091087,Apple Stock Bot,2321091087
