Date,Open,High,Low,Close Price,Adj Close,Volume
02/03/2020,282.279999,301.440002,277.720001,298.809998,298.003296,85349300
03/03/2020,303.670013,304,285.799988,289.320007,288.53894,79868900
04/03/2020,296.440002,303.399994,293.130005,302.73999,301.922699,54794600
05/03/2020,295.519989,299.549988,291.410004,292.920013,292.129211,46893200
06/03/2020,282,290.820007,281.230011,289.029999,288.249725,56544200
09/03/2020,263.75,278.089996,263,266.170013,265.451447,71686200
10/03/2020,277.140015,286.440002,269.369995,285.339996,284.569672,71322500
11/03/2020,277.390015,281.220001,271.859985,275.429993,274.686432,63899700
12/03/2020,255.940002,270,248,248.229996,247.55986,104618500
13/03/2020,264.890015,279.920013,252.949997,277.970001,277.219574,92683000
16/03/2020,241.949997,259.079987,240,242.210007,241.556122,80605900
17/03/2020,247.509995,257.609985,238.399994,252.860001,252.177368,81014000
18/03/2020,239.770004,250,237.119995,246.669998,246.004074,75058400
19/03/2020,247.389999,252.839996,242.610001,244.779999,244.119171,67964300
20/03/2020,247.179993,251.830002,228,229.240005,228.62114,100423300
23/03/2020,228.080002,228.5,212.610001,224.369995,223.764267,84188200
24/03/2020,236.360001,247.690002,234.300003,246.880005,246.213516,71882800
25/03/2020,250.75,258.25,244.300003,245.520004,244.857178,75900500
26/03/2020,246.520004,258.679993,246.360001,258.440002,257.74231,63021800
27/03/2020,252.75,255.869995,247.050003,247.740005,247.071182,51054200
