,created_at,favorites,retweets,text,tweet_id,user_id,user_name,user_screen_name
0,1587161370000.0,5,0,"Today I sold some stocks that I own in the USA market.

Partially sold:

- ZOOM (#ZM) - w/ 75.87% profit
- Smartsheet (#SMAR) w/ 24.93% profit
- Slack (#WORK) w/ 32.29% profit
- Intuit (#INTU) w/ 68.83% profit
- Apple (#AAPL) w/ 71.62% profit
- Microsoft (#MSFT) w/ 76.85% profit",1251271596653907983,31256035,Marcell Almeida,31256035
1,1587160762000.0,1,0,"Thanks to and for the trade ideas. Much love. Started with $400. And yeah yeah I know, Robinhood sucks. #BABA #AAPL #NFLX #MSFT #BYND #ROKUpic.twitter.com/4Ejykzm9TT",1251269043589451778,1175512157972094976,Xtrades,1175512157972094976
2,1587158597000.0,0,0,"Apple Inc price at close, 2020-04-17, is 282.8. #apple #AAPL",1251259964167016448,2321091087,Apple Stock Bot,2321091087
3,1587156600000.0,2,0,#AAPL - Analise Apple 17/04/2020 - TradingView - https://in.tradingview.com/chart/AAPL/V5GPFyNm-Analise-Apple-17-04-2020/ …,1251251587239968768,760853978837942272,TradingView India,760853978837942272
4,1587155575000.0,14,2,"%98 of traditional markets on TD daily 9 perfected sell set up, including #SPX500 #AMZN #AAPL #EBAY #nvda #NDAQ #MSFT #PYPL #HUM list is too long to post em here, heads up",1251247287331930114,392484017,Moe,392484017
5,1587154566000.0,0,0,"$AAPL stuck within tight trading range: https://techniquant.com/reports/stock-aapl-daily-technical-analysis-report-for-2020-04-17/ …
Sentiment: Neutral #AAPL #Apple",1251243057363763204,931115585790009346,TQ Equities,931115585790009346
6,1587152841000.0,0,0,not sure why I only bought a single contract lol but i cant complain #BABA #AAPL #NFLX #MSFT #BYND #ROKUpic.twitter.com/t7i49lEXxF,1251235820444561408,1175512157972094976,Xtrades,1175512157972094976
7,1587151823000.0,3,2,"$EROS Creates a global media company with resources and capability to develop, produce and distribute Bollywood and Hollywood strategic and distribution partnerships globally including #AAPL, #AMZN, #MSFT, NBCUniversal and #GOOGL/#YouTuber ""
https://www.otcmarkets.com/stock/EROS/news/story?e&id=1578739 …",1251231552773783552,50248794,claude,50248794
8,1587150878000.0,0,0,Goldman sucks. #AAPL,1251227587197665280,48712839,Bruno Leuschner 🇪🇺,48712839
9,1587149117000.0,1,0,"Lol Rod Hall and GS play the game well with a bellweather stock like AAPL.  Downgrade stock, buy on dip, watch it rise, sell for profit.  Every quarter.  Rinse. Lather. Repeat.
#AAPL long term bull",1251220201196130307,4751178073,Outdoor Adventure Man,4751178073
10,1587148561000.0,8,1,30% on $AAPL #AAPL puts this morning. Was watching for other plays so I will end the day early. Have a great weekend all! pic.twitter.com/MEYx4CMUxX,1251217870630948865,2439504230,MT Risner,2439504230
11,1587144777000.0,0,0,Anyone else seeing daily ascending wedges #SPY #DIA #AAPL #GOOG #FB #MSFT #ES and #YM #Futures #TTG,1251201999309352961,1244251581761060864,Trekker,1244251581761060864
12,1587144687000.0,0,0,Get #TWO #FREE #stocks when you sign up for #webull to start #trading and #investing! #tsla #aapl #stockmarket #stockmarketcrash #opportunities #EarthDayhttps://act.webull.com/i/ah7uZum9QPPY/p3a/ …,1251201620580409350,632223190,Jenny L,632223190
13,1587143507000.0,0,0,Goldman downgrading #AAPL seems misguided. @jimcramer,1251196671729586185,219371055,T. Bennett White,219371055
14,1587142144000.0,0,0,@ReformedBroker .I sold half my AAPL position yesterday #AAPL,1251190954570252288,48842028,binkus300,48842028
15,1587140003000.0,0,0,AAPL forming a pennant on 5 min time frame. will update. #AAPL pic.twitter.com/MK85OirFaF,1251181974783291393,1120444650735554560,cockolmon,1120444650735554560
16,1587139545000.0,1,1,"The Good News, and Bad News, for PC Makers (#DELL, $DELL, #HPQ, $HPQ, #AAPL, $AAPL, #pc, #computers)

Employees and employers now realize they need options for remote work, but once they buy them, they're not going to buy them again.https://www.fool.com/investing/2020/04/16/good-news-bad-news-pc-makers-sales-q1.aspx …",1251180056677961730,18968106,James Brumley,18968106
17,1587139150000.0,0,0,"This Is What Apple's Low-Cost iPhone Is Really All About (#AAPL, $AAPL, #iPhone)

The strategy may crimp hardware margins, but profits on digital services could soar on a scaled-up user base.https://www.fool.com/investing/2020/04/17/this-what-apple-low-cost-iphone-really-all-about.aspx …",1251178395981004800,18968106,James Brumley,18968106
18,1587138157000.0,0,0,"Post Edited: Apple’s iPhone gross sales might drop by 36% by means of June b 
#AAPL #analyst #Apples #coronavirushttps://lateststories.readuseful.com/apples-iphone-sales-could-drop-by-36-through-june-as-the-economy-suffers-during-the-coronavirus-pandemic-analyst-says-aapl-readuseful/ …",1251174231561428992,898950281148289026,Read Useful,898950281148289026
19,1587137290000.0,1,0,"#Options #OptionsTrading #AAPL #StockMarket #trading 

Volatility makes my days.pic.twitter.com/p8IDnynKna",1251170595426861059,878456809563934720,Rui,878456809563934720
20,1587161370000.0,5,0,"Today I sold some stocks that I own in the USA market.

Partially sold:

- ZOOM (#ZM) - w/ 75.87% profit
- Smartsheet (#SMAR) w/ 24.93% profit
- Slack (#WORK) w/ 32.29% profit
- Intuit (#INTU) w/ 68.83% profit
- Apple (#AAPL) w/ 71.62% profit
- Microsoft (#MSFT) w/ 76.85% profit",1251271596653907983,31256035,Marcell Almeida,31256035
21,1587160762000.0,1,0,"Thanks to and for the trade ideas. Much love. Started with $400. And yeah yeah I know, Robinhood sucks. #BABA #AAPL #NFLX #MSFT #BYND #ROKUpic.twitter.com/4Ejykzm9TT",1251269043589451778,1175512157972094976,Xtrades,1175512157972094976
22,1587158597000.0,0,0,"Apple Inc price at close, 2020-04-17, is 282.8. #apple #AAPL",1251259964167016448,2321091087,Apple Stock Bot,2321091087
23,1587156600000.0,2,0,#AAPL - Analise Apple 17/04/2020 - TradingView - https://in.tradingview.com/chart/AAPL/V5GPFyNm-Analise-Apple-17-04-2020/ …,1251251587239968768,760853978837942272,TradingView India,760853978837942272
24,1587155575000.0,14,2,"%98 of traditional markets on TD daily 9 perfected sell set up, including #SPX500 #AMZN #AAPL #EBAY #nvda #NDAQ #MSFT #PYPL #HUM list is too long to post em here, heads up",1251247287331930114,392484017,Moe,392484017
25,1587154566000.0,0,0,"$AAPL stuck within tight trading range: https://techniquant.com/reports/stock-aapl-daily-technical-analysis-report-for-2020-04-17/ …
Sentiment: Neutral #AAPL #Apple",1251243057363763204,931115585790009346,TQ Equities,931115585790009346
26,1587152841000.0,0,0,not sure why I only bought a single contract lol but i cant complain #BABA #AAPL #NFLX #MSFT #BYND #ROKUpic.twitter.com/t7i49lEXxF,1251235820444561408,1175512157972094976,Xtrades,1175512157972094976
27,1587151823000.0,3,2,"$EROS Creates a global media company with resources and capability to develop, produce and distribute Bollywood and Hollywood strategic and distribution partnerships globally including #AAPL, #AMZN, #MSFT, NBCUniversal and #GOOGL/#YouTuber ""
https://www.otcmarkets.com/stock/EROS/news/story?e&id=1578739 …",1251231552773783552,50248794,claude,50248794
28,1587150878000.0,0,0,Goldman sucks. #AAPL,1251227587197665280,48712839,Bruno Leuschner 🇪🇺,48712839
29,1587149117000.0,1,0,"Lol Rod Hall and GS play the game well with a bellweather stock like AAPL.  Downgrade stock, buy on dip, watch it rise, sell for profit.  Every quarter.  Rinse. Lather. Repeat.
#AAPL long term bull",1251220201196130307,4751178073,Outdoor Adventure Man,4751178073
30,1587148561000.0,8,1,30% on $AAPL #AAPL puts this morning. Was watching for other plays so I will end the day early. Have a great weekend all! pic.twitter.com/MEYx4CMUxX,1251217870630948865,2439504230,MT Risner,2439504230
31,1587144777000.0,0,0,Anyone else seeing daily ascending wedges #SPY #DIA #AAPL #GOOG #FB #MSFT #ES and #YM #Futures #TTG,1251201999309352961,1244251581761060864,Trekker,1244251581761060864
32,1587144687000.0,0,0,Get #TWO #FREE #stocks when you sign up for #webull to start #trading and #investing! #tsla #aapl #stockmarket #stockmarketcrash #opportunities #EarthDayhttps://act.webull.com/i/ah7uZum9QPPY/p3a/ …,1251201620580409350,632223190,Jenny L,632223190
33,1587143507000.0,0,0,Goldman downgrading #AAPL seems misguided. @jimcramer,1251196671729586185,219371055,T. Bennett White,219371055
34,1587142144000.0,0,0,@ReformedBroker .I sold half my AAPL position yesterday #AAPL,1251190954570252288,48842028,binkus300,48842028
35,1587140003000.0,0,0,AAPL forming a pennant on 5 min time frame. will update. #AAPL pic.twitter.com/MK85OirFaF,1251181974783291393,1120444650735554560,cockolmon,1120444650735554560
36,1587139545000.0,1,1,"The Good News, and Bad News, for PC Makers (#DELL, $DELL, #HPQ, $HPQ, #AAPL, $AAPL, #pc, #computers)

Employees and employers now realize they need options for remote work, but once they buy them, they're not going to buy them again.https://www.fool.com/investing/2020/04/16/good-news-bad-news-pc-makers-sales-q1.aspx …",1251180056677961730,18968106,James Brumley,18968106
37,1587139150000.0,0,0,"This Is What Apple's Low-Cost iPhone Is Really All About (#AAPL, $AAPL, #iPhone)

The strategy may crimp hardware margins, but profits on digital services could soar on a scaled-up user base.https://www.fool.com/investing/2020/04/17/this-what-apple-low-cost-iphone-really-all-about.aspx …",1251178395981004800,18968106,James Brumley,18968106
38,1587138157000.0,0,0,"Post Edited: Apple’s iPhone gross sales might drop by 36% by means of June b 
#AAPL #analyst #Apples #coronavirushttps://lateststories.readuseful.com/apples-iphone-sales-could-drop-by-36-through-june-as-the-economy-suffers-during-the-coronavirus-pandemic-analyst-says-aapl-readuseful/ …",1251174231561428992,898950281148289026,Read Useful,898950281148289026
39,1587137290000.0,1,0,"#Options #OptionsTrading #AAPL #StockMarket #trading 

Volatility makes my days.pic.twitter.com/p8IDnynKna",1251170595426861059,878456809563934720,Rui,878456809563934720
40,1587136639000.0,7,2,"$AAPL

So, Corona virus is around for months
And
All this time Goldman did not noticed
#AAPL sales could go down?
But
Downgraded when S&P about to go over 290 :)

Asking for a friend :)

#spy #aapl",1251167864968577025,1485856448,Spider*Man,1485856448
41,1587136098000.0,0,0,"#Options #OptionsTrading #AAPL #StockMarket #trading 

Don't you just love the volatility",1251165595476746241,878456809563934720,Rui,878456809563934720
42,1587136019000.0,1,0,"#Options #OptionsTrading #AAPL #StockMarket #trading 

BTO $AAPL APR17 282.5 Put $2.32
Filled 11:01am

STC $AAPL APR17 282.5 Put $2.54

My last run before my restpic.twitter.com/napncnukup",1251165264047075328,878456809563934720,Rui,878456809563934720
43,1587135661000.0,0,0,"Go Team #ApplePay!  ""Contactless Payments Skyrocket Because No One Wants to Handle Cash"" via @business #AAPL https://www.bloomberg.com/amp/news/articles/2020-04-16/no-touch-payments-skyrocket-because-no-one-wants-to-handle-cash …pic.twitter.com/UGNmsaOhBO",1251163766055563264,34547390,Mike Janes,34547390
44,1587135496000.0,0,0,"#AAPL chart https://www.tradingview.com/x/Xevh7oBP/  via https://www.tradingview.com  -- long some next wk 300, see if they chew up this d/g....",1251163070497349634,89482087,Rick,89482087
45,1587134930000.0,0,0,Long AAPL - #AAPL chart http://www.tradingview.com/chart/AAPL/ZYvtlfXi-Long-AAPL/ …,1251160697876041741,185301350,P,185301350
46,1587133967000.0,1,0,"#Options #OptionsTrading #AAPL #StockMarket #trading 

BTO $AAPL APR17 280 Put $1.67 & $1.84
Filled 10:19am

STC $AAPL APR17 280 Put $1.87 & $1.94

Making several quick runs during this dip.pic.twitter.com/OvDl3obiHT",1251156659734380545,878456809563934720,Rui,878456809563934720
47,1587133882000.0,0,0,@GoldmanSachs You’re #gaslighting #Apple #aapl . It’s a great company and you’re manipulating the market to buy it cheaper. #Shameful #WallStreetCorruption @jimcramer @WSJ @SenWarren,1251156300278280192,384564537,Nancy Pelosi’s Fridge ( : ^ 0 ),384564537
48,1587132444000.0,1,0,Apple Inc is doomed. $AAPL dropped by 1.1201%! Currently priced at 283.4787. https://yhoo.it/2WOWEVQ  #AAPL,1251150270899183619,14814502,Matt C. P. マット,14814502
49,1587132055000.0,0,0,"How you can scan for big money stock flow data for large stock trades using our screener. It can help you find trade ideas in $TWTR and $JNJ  for example .  https://marketchameleon.com/Screeners/BigMoneyStockFlow?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com …
#quantitativeanalysis #trade #volatility #etfs #aapl pic.twitter.com/tqmunz9aK0",1251148639214268416,818481118483742720,Chameleon 🦎 Options,818481118483742720
50,1587131811000.0,0,0,"#Options #OptionsTrading #AAPL #StockMarket #trading 

STC $AAPL APR17 285 Call $1.50
Filled 9:43am

My Network lags, just need to cut it in profit before too late.pic.twitter.com/BJ9HWiSFRU",1251147614034120706,878456809563934720,Rui,878456809563934720
51,1587131728000.0,1,0,"#Options #OptionsTrading #AAPL #StockMarket #trading 

BTO $AAPL APR17 285 Call $1.27
Filled 9:41am

It went too fast.",1251147269878870017,878456809563934720,Rui,878456809563934720
52,1587130978000.0,0,0,"Sell setup on #AAPL @Apple for downside continuation, with the first target at $260.pic.twitter.com/owgfkMdCMy",1251144122351579136,2298071246,Luka Boturovic,2298071246
53,1587130677000.0,0,0,Apple downgraded by Goldman Sachs Group Inc to sell. $233.00 PT. http://www.marketbeat.com/r/1390616  $AAPL #AAPL via @RatingsNetwork,1251142859148767232,842016584386277377,📡🦻🤯 6° Neuralink Monarch - The Mafia’s Signal,842016584386277377
54,1587129214000.0,0,1,I don’t think that #AAPL #iphone shipments are going to be down resulting from #coronavirus is a shocking revelation thus the $GS downgrade. Everything  thats slightest degree of discretionary is going to be hurt to some degree but will recover as quickly as economy is restarted,1251136721825251328,3836057553,William Jansen,3836057553
55,1587129049000.0,0,0,"AAPL Technical Analysis.

We propose the Technical Analysis of Apple (AAPL) to identify the primary levels of support and resistance and provide our point of view about possible future scenarios.

Good vision.

https://youtu.be/DO4ZrCIQtFA 
#apple #aapl #technicalanalysis #coneicom",1251136029681164290,1190313735077990400,coneicom,1190313735077990400
56,1587129031000.0,0,0,"AAPL Technical Analysis.

We propose the Technical Analysis of Apple (AAPL) to identify the primary levels of support and resistance and provide our point of view about possible future scenarios.

Good vision.

https://youtu.be/DO4ZrCIQtFA 
#apple #aapl #technicalanalysis #coneicom",1251135954871615488,1131418205216530432,Silvio Esposito,1131418205216530432
57,1587128609000.0,0,0,"Not all companies will be hurt by these unusual times
https://hubs.ly/H0pyRW50 
#Covid-19Winners #Earnings #Stocks #Netflix #Q1 #Winner #Trading #Markets #Reporting #NFLX #DIS #AAPL #TradersEXPO #TradeWiser",1251134187844878336,101806773,TradersEXPO,101806773
58,1587128265000.0,0,0,Parece que nuestro mundo se reduce a #netflix $NFLX #amazon $AMZN #tesla $TSLA #apple #AAPL $SPY $DJIA $QQQ #trading #stocks #trade #moneypic.twitter.com/PEgMgre9oU,1251132744672968704,1066474633203994626,Diego Cedeño,1066474633203994626
59,1587127603000.0,1,1,you said it! The dinosaur #aapl is ridiculous overprice! $GS,1251129966525284361,753586928361046016,Capital Private Asset,753586928361046016
60,1587126866000.0,7,0,"$es_f

Overall not much happened after initial push in o/n session 
#AAPL downgraded to Sell by Goldman Sachs Is a big deal
-this ‘could’ effect the entire market/ this rally 
-let’s see how RTH opens

A flush @ open is likely 
—how low?

—As long as over 2800 is Ok.

#es_f #spx",1251126877135278080,1485856448,Spider*Man,1485856448
61,1587124335000.0,0,0,"#AAPL– #Apple was downgraded to “sell” from “neutral” at #GoldmanSachs, which points to the potentially significant effect of the coronavirus on demand for Apple’s #iPhone.  #nyse #DowJones",1251116257727918080,1239145217774825472,Ioannis Dislias,1239145217774825472
62,1587117617000.0,2,0,"You can filter #stocks for seasonal strength it can be helpful to find trade ideas in $AMZN $BA and $TWTR for example 
https://marketchameleon.com/Reports/SeasonalityByCalendarMonth?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com …
#volatility #etfs #aapl #optionstrading #riskmanagement #bullishpic.twitter.com/KOk2ZKSqN3",1251088082310479873,818481118483742720,Chameleon 🦎 Options,818481118483742720
63,1587113243000.0,0,0,"Apple: 4H Chart

Price bounced on the bottom of the Weekly Ascending Channel.
Price broke the Descending Trendline and started its up move.
Now, price has free path to go towards the ATH Zone.

#nasdaq #aapl #apple #fb #goog #amzn #nflx #intc #spx #StockMarket #stocks #techpic.twitter.com/ilZVX8ZohF",1251069736772829184,1115615951049777153,ThinkingAnts,1115615951049777153
64,1587095395000.0,0,0,Bless #AAPL calls pic.twitter.com/Q7lKPn4jH9,1250994874385489920,1373402480,fazo,1373402480
65,1587095195000.0,0,0,$AAPL Apple Inc Stock Robo Analyst April 16 2020 #AAPL http://www.stockchartai.com/aapl-apple-inc-stock-robo-analyst-april-16-2020-aapl/ … #stocks #trading #charts,1250994036480999426,1170078948752941056,StockChartAi,1170078948752941056
66,1587094870000.0,12,1,"$AAPL #AAPL Laggard

https://chrt.biz/AAPL/13963nact8/chart …",1250992672572968962,969571031030616071,TrendSpider,969571031030616071
